x1,x2,target
-5.730353864865594,-7.583286018401834,2
1.9429921932865297,1.9188748174229198,1
6.829681769445774,1.1648713985855805,1
-2.9013057761849077,7.550771180066203,0
5.841092758392046,1.5650943109191806,1
5.470214652772347,1.1170858580318648,1
-4.319542652882475,-6.976169493000596,2
4.91033566200794,1.9229315744915951,1
3.572258406845507,1.8307901989194386,1
-7.504445768846949,-6.854018543065113,2
3.9933059519855747,0.891621680326337,1
-1.3506020440453461,8.19360380984661,0
-0.37616424839648355,7.062198328675819,0
-1.9383071123595832,10.14985176837892,0
4.929653693124514,4.048570482586171,1
5.698303323077689,0.21443019751761772,1
-2.581207744633084,10.017819026090345,0
-8.002349212713568,-6.497699847091896,2
-6.7973432018758455,-5.814629218210595,2
-3.6155325970587784,7.818079504117651,0
3.24131126240896,2.536138920631303,1
-2.300334028047995,7.054616004318546,0
5.216435799283868,2.284419838484268,1
-5.31410316191693,-6.945859854348934,2
-7.326060805701799,-6.686019600377639,2
5.034330978606398,1.552185203120469,1
4.3849016188072465,3.477162672523421,1
-6.093827032500438,-6.454652031490982,2
-6.612576925282012,-5.99047879765251,2
-1.5551958595595479,9.66567737950412,0
4.607125566012103,1.429744912806967,1
-1.6966718006585522,10.370526156769145,0
-3.4997339481834384,8.44798839859555,0
-3.837383671951181,9.211147364067445,0
5.01102470959941,1.3691844972249114,1
4.400930789361691,1.0656060218991341,1
3.81765844066167,2.2168568954326444,1
3.033432515970529,2.176633319807955,1
-6.929090900803703,-6.205290101109343,2
-5.895304792674686,-7.094098437501455,2
3.6502740159695204,1.8473827638410838,1
-1.2037188158984211,9.03528996983108,0
-2.728869510890262,9.371398699710069,0
-1.7181656760097033,8.104898673403582,0
-0.36525353372742453,9.648205150516333,0
6.2848465497293855,1.7241336443843536,1
4.5275507865372715,1.752200084407509,1
5.351493714316991,0.8485275921028628,1
3.927033053550937,2.079599911632629,1
-7.3972384901874415,-6.6563216416370485,2
-8.720501422482915,-8.159686560011648,2
-3.110904235282147,10.86656431270726,0
-7.711982764255499,-6.408694036889543,2
-6.361968170682147,-7.6058534064294125,2
4.981634812005261,3.8493405231566182,1
-3.5220287433871738,9.328533460793595,0
-2.409546257965109,8.510810474082122,0
-6.969362885438497,-5.439992377826474,2
4.919847462547922,0.8476806366423555,1
-8.224077702185546,-7.798761539760145,2
-7.396915641251642,-5.470762153090367,2
-1.9941623558440904,9.52807207911053,0
3.9880427284259423,2.020568355257146,1
-6.7835064142102866,-7.342384881980989,2
4.390914687749028,2.9447406348950875,1
-7.990203036617099,-5.127839149852324,2
5.278471295005476,0.3116496216717721,1
-7.331933510400347,-9.303988919904903,2
-2.4393955380627315,8.628972531336562,0
4.688400464172928,1.1422195675296942,1
4.5253389909754835,3.2109859959141938,1
4.875493394336667,2.7440348778276986,1
5.807660897887908,2.227590527241945,1
-6.751522776240481,-7.5611612507508275,2
-3.2395642547698866,9.230744717780297,0
-7.55601949321054,-5.079169160365131,2
-1.6956804056830803,7.7834218117643665,0
4.066216829347865,1.4263107427003399,1
-2.096266168777126,8.450561575394346,0
-3.3559913411211553,7.499438903512457,0
-6.553494168909152,-8.131223169661249,2
-1.885077806000595,9.642631637462602,0
3.8494043807827896,2.4446380410767277,1
-1.3663748085377296,9.766219160885095,0
-8.463530014636994,-6.11969493713165,2
-8.40515236207601,-7.572017663157191,2
-7.4348267178444685,-4.9989525238353565,2
-6.234143010010195,-4.716854869970486,2
4.086229530880919,0.7752917913518835,1
-2.147561598005116,8.369166373593197,0
-6.688528123131367,-6.833673045119798,2
5.169683014143384,3.4147383045986324,1
-3.515215004552452,7.80009751541059,0
4.726468623701002,1.8174924485486526,1
4.972192848207693,1.2246831473841784,1
-7.32581062436605,-8.769650324221477,2
-1.68713746305826,10.911079110852269,0
-3.490706274100701,9.476389602461593,0
-2.147802017544336,10.55232269466429,0
-6.038983642162546,-7.532733572578337,2
4.532848476273544,0.9379273615213579,1
-2.3956802778015023,9.676416802719368,0
-0.9231808069073981,7.776470629371472,0
-6.914615681648232,-5.109308957640437,2
-6.439612741097938,-7.382163817628558,2
-2.45098890460675,7.871315830367698,0
-3.2245013323127183,9.693883877132997,0
-8.327641091567514,-9.078915549896028,2
